id,name,emoji,color_from,color_to,description,priority,status,sort_order
bahasa-indonesia,Bahasa Indonesia,📖,#f43f5e,#be123c,"Literasi, teks, dan sastra",1,active,1
matematika,Matematika,🔢,#6366f1,#4338ca,"Bilangan, aljabar, geometri, statistika",1,active,2
bahasa-inggris,Bahasa Inggris,🇬🇧,#0ea5e9,#0369a1,"Reading, grammar, vocabulary",1,active,3
ipa,IPA,🔬,#10b981,#047857,"Fisika, kimia, biologi",1,active,4
pendidikan-agama-katolik,Pendidikan Agama Katolik,⛪,#8b5cf6,#6d28d9,PABP - iman Katolik,2,active,5
ips,IPS,🌍,#f59e0b,#b45309,"Sejarah, geografi, ekonomi",3,active,6
ppkn,PPKn,🏛️,#06b6d4,#0e7490,Pancasila & kewarganegaraan,3,active,7
pjok,PJOK,🏃,#84cc16,#4d7c0f,Pendidikan jasmani & kesehatan,3,active,8
prakarya-bk,Prakarya & BK,🛠️,#14b8a6,#0f766e,Keterampilan & pengembangan diri,3,active,9
