id,subject_id,title,description,sort_order
cur-mtk-1,matematika,Bilangan & Aljabar,"Persamaan, fungsi, dan penerapannya",1
cur-mtk-2,matematika,Geometri & Statistika,"Bangun ruang, data, dan peluang",2
cur-bindo-1,bahasa-indonesia,Teks & Literasi,Struktur dan unsur berbagai teks,1
cur-bing-1,bahasa-inggris,Reading & Grammar,Pemahaman teks dan tata bahasa,1
cur-ipa-1,ipa,IPA Terpadu Kelas 9,"Fisika, kimia, biologi terpadu",1
cur-pak-1,pendidikan-agama-katolik,Pribadi Yesus Kristus,Injil dan teladan hidup Yesus,1
cur-bing-1,bahasa-inggris,Reading & Grammar,Pemahaman teks dan tata bahasa,1
